time_id,time_granularity,date_code,start_date,end_date
1,日,20250101,2025-01-01,2025-01-01
2,日,20250102,2025-01-02,2025-01-02
3,日,20250103,2025-01-03,2025-01-03
4,日,20250104,2025-01-04,2025-01-04
5,日,20250105,2025-01-05,2025-01-05
6,日,20250106,2025-01-06,2025-01-06
7,日,20250107,2025-01-07,2025-01-07
8,日,20250108,2025-01-08,2025-01-08
9,日,20250109,2025-01-09,2025-01-09
10,日,20250110,2025-01-10,2025-01-10
11,日,20250111,2025-01-11,2025-01-11
12,日,20250112,2025-01-12,2025-01-12
13,日,20250113,2025-01-13,2025-01-13
14,日,20250114,2025-01-14,2025-01-14
15,日,20250115,2025-01-15,2025-01-15
16,日,20250116,2025-01-16,2025-01-16
17,日,20250117,2025-01-17,2025-01-17
18,日,20250118,2025-01-18,2025-01-18
19,日,20250119,2025-01-19,2025-01-19
20,日,20250120,2025-01-20,2025-01-20
21,日,20250121,2025-01-21,2025-01-21
22,日,20250122,2025-01-22,2025-01-22
23,日,20250123,2025-01-23,2025-01-23
24,日,20250124,2025-01-24,2025-01-24
25,日,20250125,2025-01-25,2025-01-25
26,日,20250126,2025-01-26,2025-01-26
27,日,20250127,2025-01-27,2025-01-27
28,日,20250128,2025-01-28,2025-01-28
29,日,20250129,2025-01-29,2025-01-29
30,日,20250130,2025-01-30,2025-01-30
31,日,20250131,2025-01-31,2025-01-31
32,7天,202501W1,2025-01-01,2025-01-07
33,7天,202501W2,2025-01-08,2025-01-14
34,7天,202501W3,2025-01-15,2025-01-21
35,7天,202501W4,2025-01-22,2025-01-28
36,月,202501,2025-01-01,2025-01-31
