time_id,time_granularity,date_code,specific_date
1,day,20250101,2025-01-01
2,day,20250102,2025-01-02
3,day,20250103,2025-01-03
4,day,20250104,2025-01-04
5,day,20250105,2025-01-05
6,day,20250106,2025-01-06
7,day,20250107,2025-01-07
8,day,20250108,2025-01-08
9,day,20250109,2025-01-09
10,day,20250110,2025-01-10
11,day,20250111,2025-01-11
12,day,20250112,2025-01-12
13,day,20250113,2025-01-13
14,day,20250114,2025-01-14
15,day,20250115,2025-01-15
16,day,20250116,2025-01-16
17,day,20250117,2025-01-17
18,day,20250118,2025-01-18
19,day,20250119,2025-01-19
20,day,20250120,2025-01-20
21,day,20250121,2025-01-21
22,day,20250122,2025-01-22
23,day,20250123,2025-01-23
24,day,20250124,2025-01-24
25,day,20250125,2025-01-25
26,day,20250126,2025-01-26
27,day,20250127,2025-01-27
28,day,20250128,2025-01-28
29,day,20250129,2025-01-29
30,day,20250130,2025-01-30
31,7days,20250101-20250107,2025-01-01至2025-01-07
32,7days,20250108-20250114,2025-01-08至2025-01-14
33,7days,20250115-20250121,2025-01-15至2025-01-21
34,7days,20250122-20250128,2025-01-22至2025-01-28
35,7days,20250129-20250130,2025-01-29至2025-01-30
36,month,202501,2025年01月
